Sample,Pooled,Year,SITE,TreatmentDay,GENE,G_annotation,COVERAGE,VAF,VF,SNP,PooledSize,PooledGroup
18GNLa00xp026PfF1290,Pooled,18,Lay-Sarè,00,DHFR,S108N,1117,85.7%,957,S108N,5,26
18GNLa00xp027PfF1153,Pooled,18,Lay-Sarè,00,DHFR,S108N,315,100.0%,315,S108N,1,26
18GNLa00xp028PfF1153,Pooled,18,Lay-Sarè,00,DHFR,S108N,4228,100.0%,4228,S108N,8,26
18GNLa00xp029PfF1153,Pooled,18,Lay-Sarè,00,DHFR,S108N,1457,100.0%,1457,S108N,5,26
18GNLa00xp030PfF1153,Pooled,18,Lay-Sarè,00,DHFR,S108N,538,88.3%,475,S108N,5,26
18GNLa00xp031PfF1153,Pooled,18,Lay-Sarè,00,DHFR,S108N,59,100.0%,59,S108N,1,26
18GNMa00xp001PfF1290,Pooled,18,Maferinyah,00,DHFR,S108N,16,100.0%,16,S108N,5,1
18GNMa00xp002PfF1290,Pooled,18,Maferinyah,00,DHFR,S108N,7,100.0%,7,S108N,5,2
18GNMa00xp003PfF1290,Pooled,18,Maferinyah,00,DHFR,S108N,23,100.0%,23,S108N,5,3
18GNMa00xp004PfF1290,Pooled,18,Maferinyah,00,DHFR,S108N,15,100.0%,15,S108N,5,4
18GNMa00xp005PfF1290,Pooled,18,Maferinyah,00,DHFR,S108N,18,100.0%,18,S108N,5,5
18GNMa00xp006PfF1290,Pooled,18,Maferinyah,00,DHFR,S108N,28,100.0%,28,S108N,5,6
18GNMa00xp007PfF1290,Pooled,18,Maferinyah,00,DHFR,S108N,25,100.0%,25,S108N,5,7
18GNMa00xp009PfF1290,Pooled,18,Maferinyah,00,DHFR,S108N,18,100.0%,18,S108N,5,9
18GNMa00xp010PfF1290,Pooled,18,Maferinyah,00,DHFR,S108N,13,100.0%,13,S108N,5,10
18GNMa00xp013PfF1290,Pooled,18,Maferinyah,00,DHFR,S108N,5,100.0%,5,S108N,5,13
18GNMa00xp014PfF1290,Pooled,18,Maferinyah,00,DHFR,S108N,60,100.0%,60,S108N,5,14
18GNMa00xp015PfF1290,Pooled,18,Maferinyah,00,DHFR,S108N,32,100.0%,32,S108N,5,15
18GNMa00xp016PfF1290,Pooled,18,Maferinyah,00,DHFR,S108N,178,100.0%,178,S108N,5,16
18GNMa00xp017PfF1290,Pooled,18,Maferinyah,00,DHFR,S108N,159,100.0%,159,S108N,5,17
18GNMa00xp018PfF1290,Pooled,18,Maferinyah,00,DHFR,S108N,119,100.0%,119,S108N,5,18
18GNMa00xp019PfF1290,Pooled,18,Maferinyah,00,DHFR,S108N,254,100.0%,254,S108N,5,19
18GNMa00xp020PfF1290,Pooled,18,Maferinyah,00,DHFR,S108N,269,77.3%,208,S108N,5,20
18GNMa00xp021PfF1290,Pooled,18,Maferinyah,00,DHFR,S108N,350,100.0%,350,S108N,5,21
18GNMa00xp021PfF1290,Pooled,18,Maferinyah,00,PfCRT,H97Q,8,12.5%,1,H97Q,5,21
18GNMa00xp022PfF1290,Pooled,18,Maferinyah,00,DHFR,S108N,277,100.0%,277,S108N,5,22
18GNMa00xp023PfF1290,Pooled,18,Maferinyah,00,DHFR,S108N,136,94.9%,129,S108N,5,23
18GNMa00xp024PfF1290,Pooled,18,Maferinyah,00,DHFR,S108N,205,100.0%,205,S108N,5,24
18GNMa00xp025PfF1290,Pooled,18,Maferinyah,00,DHFR,S108N,278,100.0%,278,S108N,5,25
18GNMa00xp026PfF1290,Pooled,18,Maferinyah,00,DHFR,S108N,171,100.0%,171,S108N,5,26
18GNMa00xp027PfF1290,Pooled,18,Maferinyah,00,DHFR,S108N,137,100.0%,137,S108N,5,27
18GNMa00xp028PfF1290,Pooled,18,Maferinyah,00,DHFR,S108N,534,100.0%,534,S108N,5,28
18GNMa00xp029PfF1290,Pooled,18,Maferinyah,00,DHFR,S108N,33,100.0%,33,S108N,5,29
18GNMa00xp030PfF1290,Pooled,18,Maferinyah,00,DHFR,S108N,439,100.0%,439,S108N,5,30
18GNMa00xp031PfF1290,Pooled,18,Maferinyah,00,DHFR,S108N,248,100.0%,248,S108N,5,31
18GNMa00xp032PfF1290,Pooled,18,Maferinyah,00,DHFR,S108N,589,100.0%,589,S108N,5,32
18GNMa00xp033PfF1290,Pooled,18,Maferinyah,00,DHFR,S108N,314,100.0%,314,S108N,5,33
18GNMa00xp034PfF1290,Pooled,18,Maferinyah,00,DHFR,S108N,304,100.0%,304,S108N,5,34
18GNMa00xp035PfF1290,Pooled,18,Maferinyah,00,DHFR,S108N,272,100.0%,272,S108N,5,35
18GNMa00xp036PfF1290,Pooled,18,Maferinyah,00,DHFR,S108N,403,100.0%,403,S108N,5,36
18GNMa00xp037PfF1290,Pooled,18,Maferinyah,00,DHFR,S108N,324,100.0%,324,S108N,5,37
18GNMa00xp038PfF1290,Pooled,18,Maferinyah,00,DHFR,S108N,473,99.8%,472,S108N,5,38
18GNMa00xp039PfF1290,Pooled,18,Maferinyah,00,DHFR,S108N,88,96.6%,85,S108N,5,39
18GNMa00xp040PfF1290,Pooled,18,Maferinyah,00,DHFR,S108N,390,100.0%,390,S108N,4,40
18GNMa00xp041PfF1153,Pooled,18,Maferinyah,00,DHFR,S108N,232,100.0%,232,S108N,2,26
18GNMa00xp042PfF1153,Pooled,18,Maferinyah,00,DHFR,S108N,411,100.0%,411,S108N,4,26
18GNMa00xp043PfF1153,Pooled,18,Maferinyah,00,DHFR,S108N,646,99.7%,644,S108N,6,26
18GNMa00xp044PfF1153,Pooled,18,Maferinyah,00,DHFR,S108N,317,100.0%,317,S108N,3,26
18GNMa00xp045PfF1153,Pooled,18,Maferinyah,00,DHFR,S108N,68,100.0%,68,S108N,1,26
18GNMa00xp046PfF1153,Pooled,18,Maferinyah,00,DHFR,S108N,46,100.0%,46,S108N,1,26
18GNMa00xp047PfF1153,Pooled,18,Maferinyah,00,DHFR,S108N,79,100.0%,79,S108N,2,26
19GNDo00xp001PfF1290,Pooled,19,Dorota,00,DHFR,S108N,28,100.0%,28,S108N,5,1
19GNDo00xp004PfF1290,Pooled,19,Dorota,00,DHFR,S108N,137,100.0%,137,S108N,5,4
19GNDo00xp005PfF1290,Pooled,19,Dorota,00,DHFR,S108N,50,100.0%,50,S108N,5,5
19GNDo00xp007PfF1290,Pooled,19,Dorota,00,DHFR,S108N,31,90.3%,28,S108N,5,7
19GNDo00xp008PfF1290,Pooled,19,Dorota,00,DHFR,S108N,318,86.8%,276,S108N,5,8
19GNDo00xp009PfF1290,Pooled,19,Dorota,00,DHFR,S108N,4,100.0%,4,S108N,5,9
19GNDo00xp010PfF1290,Pooled,19,Dorota,00,DHFR,S108N,76,100.0%,76,S108N,4,10
19GNDo00xp011PfF1290,Pooled,19,Dorota,00,DHFR,S108N,76,100.0%,76,S108N,5,11
19GNDo00xp012PfF1290,Pooled,19,Dorota,00,DHFR,S108N,141,100.0%,141,S108N,5,12
19GNDo00xp013PfF1290,Pooled,19,Dorota,00,DHFR,S108N,163,100.0%,163,S108N,5,13
19GNDo00xp014PfF1290,Pooled,19,Dorota,00,DHFR,S108N,51,64.7%,33,S108N,5,14
19GNDo00xp015PfF1290,Pooled,19,Dorota,00,DHFR,S108N,108,98.1%,106,S108N,5,15
19GNDo00xp016PfF1290,Pooled,19,Dorota,00,DHFR,S108N,219,71.2%,156,S108N,5,16
19GNDo00xp017PfF1290,Pooled,19,Dorota,00,DHFR,S108N,346,100.0%,346,S108N,5,17
19GNDo00xp018PfF1290,Pooled,19,Dorota,00,DHFR,S108N,171,88.9%,152,S108N,5,18
19GNDo00xp019PfF1290,Pooled,19,Dorota,00,DHFR,S108N,532,100.0%,532,S108N,5,19
19GNDo00xp020PfF1290,Pooled,19,Dorota,00,DHFR,S108N,500,100.0%,500,S108N,5,20
19GNDo00xp021PfF1290,Pooled,19,Dorota,00,DHFR,S108N,167,95.8%,160,S108N,5,21
19GNDo00xp022PfF1290,Pooled,19,Dorota,00,DHFR,S108N,340,100.0%,340,S108N,5,22
19GNDo00xp023PfF1290,Pooled,19,Dorota,00,DHFR,S108N,317,86.4%,274,S108N,5,23
19GNDo00xp024PfF1290,Pooled,19,Dorota,00,DHFR,S108N,602,100.0%,602,S108N,5,24
19GNDo00xp025PfF1290,Pooled,19,Dorota,00,DHFR,S108N,246,100.0%,246,S108N,5,25
19GNDo00xp026PfF1290,Pooled,19,Dorota,00,DHFR,S108N,623,100.0%,623,S108N,5,26
19GNDo00xp027PfF1290,Pooled,19,Dorota,00,DHFR,S108N,680,100.0%,680,S108N,5,27
19GNDo00xp028PfF1290,Pooled,19,Dorota,00,DHFR,S108N,548,89.4%,490,S108N,5,28
19GNDo00xp029PfF1290,Pooled,19,Dorota,00,DHFR,S108N,338,100.0%,338,S108N,5,29
19GNDo00xp030PfF1290,Pooled,19,Dorota,00,DHFR,S108N,175,100.0%,175,S108N,5,30
19GNDo00xp031PfF1290,Pooled,19,Dorota,00,DHFR,S108N,54,100.0%,54,S108N,5,31
19GNDo00xp032PfF1290,Pooled,19,Dorota,00,DHFR,S108N,27,100.0%,27,S108N,4,32
19GNDo00xp033PfF1290,Pooled,19,Dorota,00,DHFR,S108N,171,100.0%,171,S108N,5,33
19GNDo00xp034PfF1290,Pooled,19,Dorota,00,DHFR,S108N,1,100.0%,1,S108N,5,34
19GNDo00xp035PfF1290,Pooled,19,Dorota,00,DHFR,S108N,624,94.9%,592,S108N,5,35
19GNDo00xp036PfF1290,Pooled,19,Dorota,00,DHFR,S108N,557,97.3%,542,S108N,5,36
19GNDo00xp037PfF1290,Pooled,19,Dorota,00,DHFR,S108N,185,100.0%,185,S108N,5,37
19GNDo00xp038PfF1290,Pooled,19,Dorota,00,DHFR,S108N,130,100.0%,130,S108N,2,38
19GNDo00xp045PfF1153,Pooled,19,Dorota,00,DHFR,S108N,2367,100.0%,2367,S108N,6,26
19GNDo00xp046PfF1153,Pooled,19,Dorota,00,DHFR,S108N,393,100.0%,393,S108N,2,26
19GNDo00xp047PfF1153,Pooled,19,Dorota,00,DHFR,S108N,1163,100.0%,1163,S108N,3,26
19GNDo00xp048PfF1153,Pooled,19,Dorota,00,DHFR,S108N,1978,100.0%,1978,S108N,5,26
19GNDo00xp049PfF1153,Pooled,19,Dorota,00,DHFR,S108N,139,100.0%,139,S108N,1,26
19GNDo00xp050PfF1153,Pooled,19,Dorota,00,DHFR,S108N,55,100.0%,55,S108N,1,26
19GNHa00xp001PfF1290,Pooled,19,Hamdalaye,00,DHFR,S108N,12,100.0%,12,S108N,5,1
19GNHa00xp002PfF1290,Pooled,19,Hamdalaye,00,DHFR,S108N,17,100.0%,17,S108N,5,2
19GNHa00xp003PfF1290,Pooled,19,Hamdalaye,00,DHFR,S108N,1,100.0%,1,S108N,5,3
19GNHa00xp004PfF1290,Pooled,19,Hamdalaye,00,DHFR,S108N,14,100.0%,14,S108N,5,4
19GNHa00xp008PfF1290,Pooled,19,Hamdalaye,00,DHFR,S108N,63,100.0%,63,S108N,5,8
19GNHa00xp009PfF1290,Pooled,19,Hamdalaye,00,DHFR,S108N,9,100.0%,9,S108N,5,9
19GNHa00xp011PfF1290,Pooled,19,Hamdalaye,00,DHFR,S108N,278,100.0%,278,S108N,5,11
19GNHa00xp012PfF1290,Pooled,19,Hamdalaye,00,DHFR,S108N,469,99.6%,467,S108N,5,12
19GNHa00xp013PfF1290,Pooled,19,Hamdalaye,00,DHFR,S108N,416,100.0%,416,S108N,5,13
19GNHa00xp014PfF1290,Pooled,19,Hamdalaye,00,DHFR,S108N,4,100.0%,4,S108N,5,14
19GNHa00xp015PfF1290,Pooled,19,Hamdalaye,00,DHFR,S108N,362,100.0%,362,S108N,5,15
19GNHa00xp016PfF1290,Pooled,19,Hamdalaye,00,DHFR,S108N,310,88.4%,274,S108N,5,16
19GNHa00xp018PfF1290,Pooled,19,Hamdalaye,00,DHFR,S108N,36,100.0%,36,S108N,5,18
19GNHa00xp019PfF1290,Pooled,19,Hamdalaye,00,DHFR,S108N,184,100.0%,184,S108N,5,19
19GNHa00xp021PfF1290,Pooled,19,Hamdalaye,00,DHFR,S108N,682,100.0%,682,S108N,5,21
19GNHa00xp022PfF1290,Pooled,19,Hamdalaye,00,DHFR,S108N,61,100.0%,61,S108N,4,22
19GNHa00xp024PfF1290,Pooled,19,Hamdalaye,00,DHFR,S108N,110,100.0%,110,S108N,5,24
19GNHa00xp025PfF1290,Pooled,19,Hamdalaye,00,DHFR,S108N,4,100.0%,4,S108N,5,25
19GNHa00xp026PfF1290,Pooled,19,Hamdalaye,00,DHFR,S108N,444,100.0%,444,S108N,5,26
19GNHa00xp028PfF1290,Pooled,19,Hamdalaye,00,DHFR,S108N,757,100.0%,757,S108N,5,28
19GNHa00xp030PfF1290,Pooled,19,Hamdalaye,00,DHFR,S108N,42,100.0%,42,S108N,5,30
19GNHa00xp031PfF1290,Pooled,19,Hamdalaye,00,DHFR,S108N,541,100.0%,541,S108N,5,31
19GNHa00xp032PfF1290,Pooled,19,Hamdalaye,00,DHFR,S108N,262,100.0%,262,S108N,5,32
19GNHa00xp033PfF1290,Pooled,19,Hamdalaye,00,DHFR,S108N,564,100.0%,564,S108N,5,33
19GNHa00xp035PfF1290,Pooled,19,Hamdalaye,00,DHFR,S108N,771,100.0%,771,S108N,5,35
19GNHa00xp036PfF1290,Pooled,19,Hamdalaye,00,DHFR,S108N,320,100.0%,320,S108N,1,36
19GNHa00xp046PfF1153,Pooled,19,Hamdalaye,00,DHFR,S108N,490,100.0%,490,S108N,3,26
19GNHa00xp047PfF1153,Pooled,19,Hamdalaye,00,DHFR,S108N,948,67.9%,644,S108N,6,26
19GNHa00xp048PfF1153,Pooled,19,Hamdalaye,00,DHFR,S108N,1502,74.9%,1125,S108N,3,26
19GNHa00xp049PfF1153,Pooled,19,Hamdalaye,00,DHFR,S108N,1950,98.6%,1923,S108N,5,26
19GNHa00xp050PfF1153,Pooled,19,Hamdalaye,00,DHFR,S108N,222,100.0%,222,S108N,2,26
19GNHa00xp051PfF1153,Pooled,19,Hamdalaye,00,DHFR,S108N,39,100.0%,39,S108N,1,26
17GNDo00xp039PfF1153,Pooled,17,Dorota,00,DHFR,C59R,268,100.0%,268,C59R,1,26
17GNDo00xp040PfF1153,Pooled,17,Dorota,00,DHFR,C59R,160,100.0%,160,C59R,1,26
17GNDo00xp041PfF1153,Pooled,17,Dorota,00,DHFR,C59R,2036,88.2%,1796,C59R,7,26
17GNDo00xp042PfF1153,Pooled,17,Dorota,00,DHFR,C59R,560,100.0%,560,C59R,4,26
17GNDo00xp043PfF1153,Pooled,17,Dorota,00,DHFR,C59R,294,80.6%,237,C59R,3,26
17GNDo00xp044PfF1153,Pooled,17,Dorota,00,DHFR,C59R,48,83.3%,40,C59R,1,26
17GNHa00xp037PfF1153,Pooled,17,Hamdalaye,00,DHFR,C59R,2615,76.3%,1995,C59R,4,26
17GNHa00xp038PfF1153,Pooled,17,Hamdalaye,00,DHFR,C59R,1449,100.0%,1449,C59R,3,26
17GNHa00xp039PfF1153,Pooled,17,Hamdalaye,00,DHFR,C59R,1591,94.5%,1503,C59R,4,26
17GNHa00xp040PfF1153,Pooled,17,Hamdalaye,00,DHFR,C59R,27,100.0%,27,C59R,1,26
17GNHa00xp041PfF1153,Pooled,17,Hamdalaye,00,DHFR,C59R,6,100.0%,6,C59R,1,26
17GNHa00xp042PfF1153,Pooled,17,Hamdalaye,00,DHFR,C59R,27,100.0%,27,C59R,1,26
17GNHa00xp043PfF1153,Pooled,17,Hamdalaye,00,DHFR,C59R,12,100.0%,12,C59R,2,26
17GNMa00xp048PfF1153,Pooled,17,Maferinyah,00,DHFR,C59R,3,100.0%,3,C59R,1,26
18GNLa00xp001PfF1290,Pooled,18,Lay-Sarè,00,DHFR,C59R,47,100.0%,47,C59R,5,1
18GNLa00xp002PfF1290,Pooled,18,Lay-Sarè,00,DHFR,C59R,470,100.0%,470,C59R,5,2
18GNLa00xp003PfF1290,Pooled,18,Lay-Sarè,00,DHFR,C59R,706,100.0%,706,C59R,5,3
18GNLa00xp003PfF1290,Pooled,18,Lay-Sarè,00,PfCRT,I356T,8,50.0%,4,I356T,5,3
18GNLa00xp004PfF1290,Pooled,18,Lay-Sarè,00,DHFR,C59R,183,98.9%,181,C59R,5,4
18GNLa00xp005PfF1290,Pooled,18,Lay-Sarè,00,DHFR,C59R,47,100.0%,47,C59R,5,5
18GNLa00xp006PfF1290,Pooled,18,Lay-Sarè,00,DHFR,C59R,807,99.3%,801,C59R,5,6
18GNLa00xp006PfF1290,Pooled,18,Lay-Sarè,00,PfCRT,K76T,2,100.0%,2,K76T,5,6
18GNLa00xp007PfF1290,Pooled,18,Lay-Sarè,00,DHFR,C59R,72,29.2%,21,C59R,5,7
18GNLa00xp008PfF1290,Pooled,18,Lay-Sarè,00,DHFR,C59R,121,100.0%,121,C59R,5,8
18GNLa00xp009PfF1290,Pooled,18,Lay-Sarè,00,DHFR,C59R,11,100.0%,11,C59R,5,9
18GNLa00xp010PfF1290,Pooled,18,Lay-Sarè,00,DHFR,C59R,30,100.0%,30,C59R,5,10
18GNLa00xp011PfF1290,Pooled,18,Lay-Sarè,00,DHFR,C59R,106,96.2%,102,C59R,5,11
18GNLa00xp011PfF1290,Pooled,18,Lay-Sarè,00,PfCRT,I356T,2,100.0%,2,I356T,5,11
18GNLa00xp012PfF1290,Pooled,18,Lay-Sarè,00,DHFR,C59R,166,100.0%,166,C59R,5,12
18GNLa00xp012PfF1290,Pooled,18,Lay-Sarè,00,PfCRT,K76T,6,33.3%,2,K76T,5,12
18GNLa00xp014PfF1290,Pooled,18,Lay-Sarè,00,DHFR,C59R,109,100.0%,109,C59R,5,14
18GNLa00xp015PfF1290,Pooled,18,Lay-Sarè,00,DHFR,C59R,523,100.0%,523,C59R,5,15
18GNLa00xp016PfF1290,Pooled,18,Lay-Sarè,00,DHFR,C59R,165,79.4%,131,C59R,5,16
18GNLa00xp017PfF1290,Pooled,18,Lay-Sarè,00,DHFR,C59R,176,100.0%,176,C59R,5,17
18GNLa00xp017PfF1290,Pooled,18,Lay-Sarè,00,PfCRT,K76T,2,100.0%,2,K76T,5,17
18GNLa00xp018PfF1290,Pooled,18,Lay-Sarè,00,DHFR,C59R,12,100.0%,12,C59R,5,18
18GNLa00xp018PfF1290,Pooled,18,Lay-Sarè,00,PfCRT,K76T,17,23.5%,4,K76T,5,18
18GNLa00xp019PfF1290,Pooled,18,Lay-Sarè,00,DHFR,C59R,362,100.0%,362,C59R,5,19
18GNLa00xp019PfF1290,Pooled,18,Lay-Sarè,00,PfCRT,K76T,4,50.0%,2,K76T,5,19
18GNLa00xp020PfF1290,Pooled,18,Lay-Sarè,00,DHFR,C59R,651,100.0%,651,C59R,5,20
18GNLa00xp021PfF1290,Pooled,18,Lay-Sarè,00,DHFR,C59R,561,99.6%,559,C59R,5,21
18GNLa00xp022PfF1290,Pooled,18,Lay-Sarè,00,DHFR,C59R,64,100.0%,64,C59R,5,22
18GNLa00xp023PfF1290,Pooled,18,Lay-Sarè,00,DHFR,C59R,1332,100.0%,1332,C59R,5,23
18GNLa00xp023PfF1290,Pooled,18,Lay-Sarè,00,PfCRT,K76T,39,12.8%,5,K76T,5,23
18GNLa00xp024PfF1290,Pooled,18,Lay-Sarè,00,DHFR,C59R,3449,100.0%,3448,C59R,5,24
18GNLa00xp025PfF1290,Pooled,18,Lay-Sarè,00,DHFR,C59R,754,100.0%,754,C59R,5,25
18GNLa00xp026PfF1290,Pooled,18,Lay-Sarè,00,DHFR,C59R,1099,87.4%,961,C59R,5,26
18GNLa00xp026PfF1290,Pooled,18,Lay-Sarè,00,PfCRT,K76T,13,53.8%,7,K76T,5,26
18GNLa00xp026PfF1290,Pooled,18,Lay-Sarè,00,PfCRT,I356T,2,100.0%,2,I356T,5,26
18GNLa00xp027PfF1153,Pooled,18,Lay-Sarè,00,DHFR,C59R,409,100.0%,409,C59R,1,26
18GNLa00xp028PfF1153,Pooled,18,Lay-Sarè,00,DHFR,C59R,3540,100.0%,3540,C59R,8,26
18GNLa00xp029PfF1153,Pooled,18,Lay-Sarè,00,DHFR,C59R,971,100.0%,971,C59R,5,26
18GNLa00xp030PfF1153,Pooled,18,Lay-Sarè,00,DHFR,C59R,237,95.4%,226,C59R,5,26
18GNLa00xp031PfF1153,Pooled,18,Lay-Sarè,00,DHFR,C59R,52,100.0%,52,C59R,1,26
18GNMa00xp001PfF1290,Pooled,18,Maferinyah,00,DHFR,C59R,25,100.0%,25,C59R,5,1
18GNMa00xp002PfF1290,Pooled,18,Maferinyah,00,DHFR,C59R,4,100.0%,4,C59R,5,2
18GNMa00xp003PfF1290,Pooled,18,Maferinyah,00,DHFR,C59R,43,100.0%,43,C59R,5,3
18GNMa00xp004PfF1290,Pooled,18,Maferinyah,00,DHFR,C59R,25,100.0%,25,C59R,5,4
18GNMa00xp005PfF1290,Pooled,18,Maferinyah,00,DHFR,C59R,23,100.0%,23,C59R,5,5
18GNMa00xp006PfF1290,Pooled,18,Maferinyah,00,DHFR,C59R,34,100.0%,34,C59R,5,6
18GNMa00xp007PfF1290,Pooled,18,Maferinyah,00,DHFR,C59R,25,100.0%,25,C59R,5,7
18GNMa00xp009PfF1290,Pooled,18,Maferinyah,00,DHFR,C59R,29,100.0%,29,C59R,5,9
18GNMa00xp009PfF1290,Pooled,18,Maferinyah,00,PfCRT,C350R,8,25.0%,2,C350R,5,9
18GNMa00xp010PfF1290,Pooled,18,Maferinyah,00,DHFR,C59R,21,100.0%,21,C59R,5,10
18GNMa00xp013PfF1290,Pooled,18,Maferinyah,00,DHFR,C59R,8,100.0%,8,C59R,5,13
18GNMa00xp014PfF1290,Pooled,18,Maferinyah,00,DHFR,C59R,78,100.0%,78,C59R,5,14
18GNMa00xp015PfF1290,Pooled,18,Maferinyah,00,DHFR,C59R,38,100.0%,38,C59R,5,15
18GNMa00xp016PfF1290,Pooled,18,Maferinyah,00,DHFR,C59R,196,100.0%,196,C59R,5,16
18GNMa00xp016PfF1290,Pooled,18,Maferinyah,00,PfCRT,K76T,2,100.0%,2,K76T,5,16
18GNMa00xp017PfF1290,Pooled,18,Maferinyah,00,DHFR,C59R,168,100.0%,168,C59R,5,17
18GNMa00xp018PfF1290,Pooled,18,Maferinyah,00,DHFR,C59R,211,100.0%,211,C59R,5,18
18GNMa00xp019PfF1290,Pooled,18,Maferinyah,00,DHFR,C59R,334,100.0%,334,C59R,5,19
18GNMa00xp020PfF1290,Pooled,18,Maferinyah,00,DHFR,C59R,320,82.2%,263,C59R,5,20
18GNMa00xp021PfF1290,Pooled,18,Maferinyah,00,DHFR,C59R,432,100.0%,432,C59R,5,21
18GNMa00xp022PfF1290,Pooled,18,Maferinyah,00,DHFR,C59R,347,100.0%,347,C59R,5,22
