Sample,Pooled,Year,SITE,TreatmentDay,GENE,G_annotation,COVERAGE,VAF,VF,SNP,PooledSize
18GNMa00A0097PfF1290,Individual,18,Maferinyah,00,DHFR,S108N,36,100.0%,36,S108N,1
18GNMa00A0106PfF1290,Individual,18,Maferinyah,00,DHFR,S108N,2,100.0%,2,S108N,1
18GNMa00A0129PfF1290,Individual,18,Maferinyah,00,DHFR,S108N,21,100.0%,21,S108N,1
18GNMa00A0177PfF1290,Individual,18,Maferinyah,00,DHFR,S108N,62,100.0%,62,S108N,1
18GNMa00F0182PfF1290,Individual,18,Maferinyah,00,DHFR,S108N,49,100.0%,49,S108N,1
18GNMa1A0129PfF1290,Individual,18,Maferinyah,01,DHFR,S108N,1,100.0%,1,S108N,1
18GNMa21A0001PfF1290,Individual,18,Maferinyah,21,DHFR,S108N,11,100.0%,11,S108N,1
18GNMa21A0014PfF1290,Individual,18,Maferinyah,21,DHFR,S108N,23,100.0%,23,S108N,1
18GNMa21A0097PfF1290,Individual,18,Maferinyah,21,DHFR,S108N,21,100.0%,21,S108N,1
18GNMa21A0106PfF1290,Individual,18,Maferinyah,21,DHFR,S108N,25,100.0%,25,S108N,1
18GNMa21A0177PfF1290,Individual,18,Maferinyah,21,DHFR,S108N,14,100.0%,14,S108N,1
18GNMa21F0182PfF1290,Individual,18,Maferinyah,21,DHFR,S108N,4,100.0%,4,S108N,1
19GNDo00A0134PfF1290,Individual,19,Dorota,00,DHFR,S108N,61,100.0%,61,S108N,1
19GNDo27A0134PfF1290,Individual,19,Dorota,27,DHFR,S108N,62,66.1%,41,S108N,1
19GNHa00A0077PfF1290,Individual,19,Hamdalaye,00,DHFR,S108N,15,100.0%,15,S108N,1
19GNHa00A0163PfF1290,Individual,19,Hamdalaye,00,DHFR,S108N,109,100.0%,109,S108N,1
19GNHa00F0172PfF1290,Individual,19,Hamdalaye,00,DHFR,S108N,76,100.0%,76,S108N,1
19GNHa14A0077PfF1290,Individual,19,Hamdalaye,14,DHFR,S108N,38,100.0%,38,S108N,1
19GNHa28A0163PfF1290,Individual,19,Hamdalaye,28,DHFR,S108N,52,100.0%,52,S108N,1
17GNDo00A0006PfF1290,Individual,17,Dorota,00,DHFR,C59R,49,100.0%,49,C59R,1
17GNDo00F0002PfF1290,Individual,17,Dorota,00,DHFR,C59R,14,100.0%,14,C59R,1
17GNDo00F0019PfF1290,Individual,17,Dorota,00,DHFR,C59R,23,100.0%,23,C59R,1
17GNDo00F0055PfF1290,Individual,17,Dorota,00,DHFR,C59R,64,100.0%,64,C59R,1
17GNDo00F0055PfF1290,Individual,17,Dorota,00,PfCRT,K76T,2,100.0%,2,K76T,1
17GNDo00F0055PfF1290,Individual,17,Dorota,00,PfCRT,I356T,2,100.0%,2,I356T,1
17GNDo00F0067PfF1153,Individual,17,Dorota,00,DHFR,C59R,10,100.0%,10,C59R,1
17GNDo21A0006PfF1290,Individual,17,Dorota,21,DHFR,C59R,14,100.0%,14,C59R,1
17GNDo21F0002PfF1290,Individual,17,Dorota,21,DHFR,C59R,99,100.0%,99,C59R,1
17GNDo21F0019PfF1290,Individual,17,Dorota,21,DHFR,C59R,46,100.0%,46,C59R,1
17GNHa00A0142PfF1290,Individual,17,Hamdalaye,00,DHFR,C59R,13,100.0%,13,C59R,1
17GNHa00A0159PfF1290,Individual,17,Hamdalaye,00,DHFR,C59R,5,100.0%,5,C59R,1
17GNHa00A0217PfF1290,Individual,17,Hamdalaye,00,DHFR,C59R,39,100.0%,39,C59R,1
17GNHa00F0011PfF1290,Individual,17,Hamdalaye,00,DHFR,C59R,84,100.0%,84,C59R,1
17GNHa00F0097PfF1290,Individual,17,Hamdalaye,00,DHFR,C59R,5,100.0%,5,C59R,1
17GNHa00F0137PfF1290,Individual,17,Hamdalaye,00,DHFR,C59R,10,100.0%,10,C59R,1
17GNHa00F0165PfF1290,Individual,17,Hamdalaye,00,DHFR,C59R,10,80.0%,8,C59R,1
17GNHa14F0097PfF1290,Individual,17,Hamdalaye,14,DHFR,C59R,91,100.0%,91,C59R,1
17GNHa14F0097PfF1290,Individual,17,Hamdalaye,14,PfCRT,K76T,6,66.7%,4,K76T,1
17GNHa16F0011PfF1290,Individual,17,Hamdalaye,16,DHFR,C59R,22,100.0%,22,C59R,1
17GNHa16F0011PfF1290,Individual,17,Hamdalaye,16,PfCRT,K76T,2,100.0%,2,K76T,1
17GNHa21A0159PfF1290,Individual,17,Hamdalaye,21,DHFR,C59R,102,100.0%,102,C59R,1
17GNHa25A0217PfF1290,Individual,17,Hamdalaye,25,DHFR,C59R,84,100.0%,84,C59R,1
17GNHa25A0217PfF1290,Individual,17,Hamdalaye,25,PfCRT,K76T,2,100.0%,2,K76T,1
17GNHa25A0217PfF1290,Individual,17,Hamdalaye,25,PfCRT,I356T,2,100.0%,2,I356T,1
18GNLS00A0012PfF1290,Individual,18,Lay-Sarè,00,DHFR,C59R,28,100.0%,28,C59R,1
18GNLS00A0097PfF1290,Individual,18,Lay-Sarè,00,DHFR,C59R,6,100.0%,6,C59R,1
18GNLS00A0103PfF1290,Individual,18,Lay-Sarè,00,DHFR,C59R,50,100.0%,50,C59R,1
18GNLS00A0112PfF1290,Individual,18,Lay-Sarè,00,DHFR,C59R,19,100.0%,19,C59R,1
18GNLS00A0112PfF1290,Individual,18,Lay-Sarè,00,K13,M476T,32,6.3%,2,M476T,1
18GNLS00A0117PfF1290,Individual,18,Lay-Sarè,00,DHFR,C59R,21,100.0%,21,C59R,1
18GNLS00A0127PfF1290,Individual,18,Lay-Sarè,00,DHFR,C59R,39,100.0%,39,C59R,1
18GNLS00A0131PfF1290,Individual,18,Lay-Sarè,00,DHFR,C59R,36,100.0%,36,C59R,1
18GNLS00A0136PfF1290,Individual,18,Lay-Sarè,00,DHFR,C59R,59,100.0%,59,C59R,1
18GNLS00F0141PfF1290,Individual,18,Lay-Sarè,00,DHFR,C59R,49,100.0%,49,C59R,1
18GNLS14A0127PfF1290,Individual,18,Lay-Sarè,14,DHFR,C59R,43,100.0%,43,C59R,1
18GNLS14F0141PfF1290,Individual,18,Lay-Sarè,14,DHFR,C59R,9,100.0%,9,C59R,1
18GNLS14F0141PfF1290,Individual,18,Lay-Sarè,14,PfCRT,K76T,1,100.0%,1,K76T,1
18GNLS21A0012PfF1290,Individual,18,Lay-Sarè,21,DHFR,C59R,29,100.0%,29,C59R,1
18GNLS21A0097PfF1290,Individual,18,Lay-Sarè,21,DHFR,C59R,4,100.0%,4,C59R,1
18GNLS21A0103PfF1290,Individual,18,Lay-Sarè,21,DHFR,C59R,57,100.0%,57,C59R,1
18GNLS21A0112PfF1290,Individual,18,Lay-Sarè,21,DHFR,C59R,30,100.0%,30,C59R,1
18GNLS21A0117PfF1290,Individual,18,Lay-Sarè,21,DHFR,C59R,35,100.0%,35,C59R,1
18GNLS21A0129PfF1290,Individual,18,Lay-Sarè,21,DHFR,C59R,117,100.0%,117,C59R,1
18GNLS21A0131PfF1290,Individual,18,Lay-Sarè,21,DHFR,C59R,20,100.0%,20,C59R,1
18GNLS21A0136PfF1290,Individual,18,Lay-Sarè,21,DHFR,C59R,16,100.0%,16,C59R,1
18GNLS21F0156PfF1290,Individual,18,Lay-Sarè,21,DHFR,C59R,102,100.0%,102,C59R,1
18GNMa00A0001PfF1290,Individual,18,Maferinyah,00,DHFR,C59R,34,100.0%,34,C59R,1
18GNMa00A0014PfF1290,Individual,18,Maferinyah,00,DHFR,C59R,66,100.0%,66,C59R,1
18GNMa00A0097PfF1290,Individual,18,Maferinyah,00,DHFR,C59R,37,5.4%,2,C59R,1
18GNMa00A0129PfF1290,Individual,18,Maferinyah,00,DHFR,C59R,37,100.0%,37,C59R,1
18GNMa00A0177PfF1290,Individual,18,Maferinyah,00,DHFR,C59R,74,100.0%,74,C59R,1
18GNMa00F0182PfF1290,Individual,18,Maferinyah,00,DHFR,C59R,71,100.0%,71,C59R,1
18GNMa1A0129PfF1290,Individual,18,Maferinyah,01,DHFR,C59R,5,100.0%,5,C59R,1
18GNMa21A0001PfF1290,Individual,18,Maferinyah,21,DHFR,C59R,17,100.0%,17,C59R,1
18GNMa21A0014PfF1290,Individual,18,Maferinyah,21,DHFR,C59R,71,100.0%,71,C59R,1
18GNMa21A0097PfF1290,Individual,18,Maferinyah,21,DHFR,C59R,29,100.0%,29,C59R,1
18GNMa21A0106PfF1290,Individual,18,Maferinyah,21,DHFR,C59R,38,100.0%,38,C59R,1
18GNMa21A0106PfF1290,Individual,18,Maferinyah,21,PfCRT,K76T,4,100.0%,4,K76T,1
18GNMa21A0177PfF1290,Individual,18,Maferinyah,21,DHFR,C59R,12,100.0%,12,C59R,1
18GNMa21F0182PfF1290,Individual,18,Maferinyah,21,DHFR,C59R,1,100.0%,1,C59R,1
19GNDo00A0134PfF1290,Individual,19,Dorota,00,DHFR,C59R,96,100.0%,96,C59R,1
19GNDo27A0134PfF1290,Individual,19,Dorota,27,DHFR,C59R,58,81.0%,47,C59R,1
19GNHa00A0077PfF1290,Individual,19,Hamdalaye,00,DHFR,C59R,5,100.0%,5,C59R,1
19GNHa00A0163PfF1290,Individual,19,Hamdalaye,00,DHFR,C59R,119,100.0%,119,C59R,1
19GNHa00A0163PfF1290,Individual,19,Hamdalaye,00,PfCRT,K76T,6,100.0%,6,K76T,1
19GNHa00A0163PfF1290,Individual,19,Hamdalaye,00,PfCRT,I356T,2,100.0%,2,I356T,1
19GNHa00F0172PfF1290,Individual,19,Hamdalaye,00,DHFR,C59R,134,100.0%,134,C59R,1
19GNHa00F0172PfF1290,Individual,19,Hamdalaye,00,PfCRT,K76T,4,100.0%,4,K76T,1
19GNHa14A0077PfF1290,Individual,19,Hamdalaye,14,DHFR,C59R,35,100.0%,35,C59R,1
19GNHa28A0163PfF1290,Individual,19,Hamdalaye,28,DHFR,C59R,58,100.0%,58,C59R,1
17GNDo00A0006PfF1290,Individual,17,Dorota,00,DHPS,S436A,17,11.8%,2,S436A,1
17GNDo00A0006PfF1290,Individual,17,Dorota,00,DHPS,A437G,17,88.2%,15,A437G,1
17GNDo00F0002PfF1290,Individual,17,Dorota,00,DHPS,A437G,1,100.0%,1,A437G,1
17GNDo00F0019PfF1290,Individual,17,Dorota,00,DHPS,A437G,2,100.0%,2,A437G,1
17GNDo00F0055PfF1290,Individual,17,Dorota,00,DHPS,A437G,21,100.0%,21,A437G,1
17GNDo21A0006PfF1290,Individual,17,Dorota,21,DHPS,A437G,7,100.0%,7,A437G,1
17GNDo21F0002PfF1290,Individual,17,Dorota,21,DHPS,A437G,15,100.0%,15,A437G,1
17GNDo21F0019PfF1290,Individual,17,Dorota,21,DHPS,K540E,2,100.0%,2,K540E,1
17GNHa00A0217PfF1290,Individual,17,Hamdalaye,00,DHPS,A437G,9,100.0%,9,A437G,1
17GNHa00F0011PfF1290,Individual,17,Hamdalaye,00,DHPS,S436A,37,48.6%,18,S436A,1
17GNHa00F0011PfF1290,Individual,17,Hamdalaye,00,DHPS,A437G,37,51.4%,19,A437G,1
17GNHa00F0137PfF1290,Individual,17,Hamdalaye,00,DHPS,S436A,2,100.0%,2,S436A,1
17GNHa14F0097PfF1290,Individual,17,Hamdalaye,14,DHPS,A437G,77,100.0%,77,A437G,1
17GNHa14F0097PfF1290,Individual,17,Hamdalaye,14,PfCRT,Q271E,3,100.0%,3,Q271E,1
17GNHa16F0011PfF1290,Individual,17,Hamdalaye,16,DHPS,A437G,2,100.0%,2,A437G,1
17GNHa21A0159PfF1290,Individual,17,Hamdalaye,21,DHPS,S436A,22,50.0%,11,S436A,1
17GNHa21A0159PfF1290,Individual,17,Hamdalaye,21,DHPS,A437G,22,50.0%,11,A437G,1
17GNHa25A0217PfF1290,Individual,17,Hamdalaye,25,DHPS,S436A,8,100.0%,8,S436A,1
17GNHa25A0217PfF1290,Individual,17,Hamdalaye,25,DHPS,A437G,10,100.0%,10,A437G,1
18GNLS00A0012PfF1290,Individual,18,Lay-Sarè,00,DHPS,S436A,15,100.0%,15,S436A,1
18GNLS00A0012PfF1290,Individual,18,Lay-Sarè,00,DHPS,A437G,15,100.0%,15,A437G,1
18GNLS00A0097PfF1290,Individual,18,Lay-Sarè,00,DHPS,S436A,2,100.0%,2,S436A,1
18GNLS00A0097PfF1290,Individual,18,Lay-Sarè,00,DHPS,A437G,2,100.0%,2,A437G,1
18GNLS00A0103PfF1290,Individual,18,Lay-Sarè,00,DHPS,S436A,9,100.0%,9,S436A,1
18GNLS00A0103PfF1290,Individual,18,Lay-Sarè,00,DHPS,A437G,10,100.0%,10,A437G,1
18GNLS00A0112PfF1290,Individual,18,Lay-Sarè,00,DHPS,S436A,3,33.3%,1,S436A,1
18GNLS00A0112PfF1290,Individual,18,Lay-Sarè,00,DHPS,A437G,3,100.0%,3,A437G,1
18GNLS00A0117PfF1290,Individual,18,Lay-Sarè,00,DHPS,A437G,6,100.0%,6,A437G,1
18GNLS00A0127PfF1290,Individual,18,Lay-Sarè,00,DHPS,A437G,5,100.0%,5,A437G,1
18GNLS00A0129PfF1290,Individual,18,Lay-Sarè,00,DHPS,S436A,4,100.0%,4,S436A,1
18GNLS00A0129PfF1290,Individual,18,Lay-Sarè,00,K13,P553A,30,6.7%,2,P553A,1
18GNLS00A0131PfF1290,Individual,18,Lay-Sarè,00,DHPS,A437G,8,100.0%,8,A437G,1
18GNLS00A0136PfF1290,Individual,18,Lay-Sarè,00,DHPS,A437G,20,100.0%,20,A437G,1
18GNLS00F0141PfF1290,Individual,18,Lay-Sarè,00,DHPS,S436A,9,100.0%,9,S436A,1
18GNLS14F0141PfF1290,Individual,18,Lay-Sarè,14,DHPS,S436A,9,100.0%,9,S436A,1
18GNLS21A0012PfF1290,Individual,18,Lay-Sarè,21,DHPS,S436A,8,100.0%,8,S436A,1
18GNLS21A0012PfF1290,Individual,18,Lay-Sarè,21,DHPS,A437G,8,100.0%,8,A437G,1
18GNLS21A0103PfF1290,Individual,18,Lay-Sarè,21,DHPS,S436A,16,100.0%,16,S436A,1
18GNLS21A0103PfF1290,Individual,18,Lay-Sarè,21,DHPS,A437G,14,100.0%,14,A437G,1
18GNLS21A0112PfF1290,Individual,18,Lay-Sarè,21,DHPS,S436A,7,100.0%,7,S436A,1
18GNLS21A0117PfF1290,Individual,18,Lay-Sarè,21,DHPS,S436A,2,100.0%,2,S436A,1
18GNLS21A0129PfF1290,Individual,18,Lay-Sarè,21,DHPS,S436A,16,75.0%,12,S436A,1
18GNLS21A0129PfF1290,Individual,18,Lay-Sarè,21,DHPS,A437G,16,100.0%,16,A437G,1
18GNLS21A0129PfF1290,Individual,18,Lay-Sarè,21,DHPS,K540E,12,33.3%,4,K540E,1
18GNLS21A0129PfF1290,Individual,18,Lay-Sarè,21,DHPS,A581G,13,69.2%,9,A581G,1
18GNLS21A0131PfF1290,Individual,18,Lay-Sarè,21,DHPS,S436A,4,50.0%,2,S436A,1
18GNLS21A0131PfF1290,Individual,18,Lay-Sarè,21,DHPS,A437G,4,100.0%,4,A437G,1
18GNLS21A0131PfF1290,Individual,18,Lay-Sarè,21,DHPS,A581G,4,100.0%,4,A581G,1
18GNLS21A0136PfF1290,Individual,18,Lay-Sarè,21,DHPS,A437G,7,100.0%,7,A437G,1
18GNLS21F0156PfF1290,Individual,18,Lay-Sarè,21,DHPS,S436A,14,85.7%,12,S436A,1
18GNLS21F0156PfF1290,Individual,18,Lay-Sarè,21,DHPS,A437G,14,14.3%,2,A437G,1
18GNMa00A0001PfF1290,Individual,18,Maferinyah,00,DHPS,S436A,21,42.9%,9,S436A,1
18GNMa00A0001PfF1290,Individual,18,Maferinyah,00,DHPS,A437G,21,57.1%,12,A437G,1
18GNMa00A0014PfF1290,Individual,18,Maferinyah,00,DHPS,S436A,66,100.0%,66,S436A,1
18GNMa00A0014PfF1290,Individual,18,Maferinyah,00,DHPS,A437G,67,100.0%,67,A437G,1
18GNMa00A0097PfF1290,Individual,18,Maferinyah,00,DHPS,S436A,24,8.3%,2,S436A,1
18GNMa00A0097PfF1290,Individual,18,Maferinyah,00,DHPS,A437G,24,100.0%,24,A437G,1
18GNMa00A0106PfF1290,Individual,18,Maferinyah,00,DHPS,S436A,3,100.0%,3,S436A,1
18GNMa00A0129PfF1290,Individual,18,Maferinyah,00,DHPS,S436A,29,100.0%,29,S436A,1
18GNMa00A0129PfF1290,Individual,18,Maferinyah,00,DHPS,A437G,30,100.0%,30,A437G,1
18GNMa00A0129PfF1290,Individual,18,Maferinyah,00,DHPS,A581G,4,100.0%,4,A581G,1
18GNMa00A0129PfF1290,Individual,18,Maferinyah,00,PfCRT,Q271E,2,100.0%,2,Q271E,1
18GNMa00A0177PfF1290,Individual,18,Maferinyah,00,DHPS,S436A,34,79.4%,27,S436A,1
18GNMa00F0182PfF1290,Individual,18,Maferinyah,00,DHPS,A437G,14,100.0%,14,A437G,1
18GNMa1A0129PfF1290,Individual,18,Maferinyah,01,DHPS,S436A,4,100.0%,4,S436A,1
18GNMa1A0129PfF1290,Individual,18,Maferinyah,01,DHPS,A437G,4,100.0%,4,A437G,1
18GNMa1A0129PfF1290,Individual,18,Maferinyah,01,DHPS,A581G,2,100.0%,2,A581G,1
18GNMa21A0001PfF1290,Individual,18,Maferinyah,21,DHPS,A437G,9,100.0%,9,A437G,1
18GNMa21A0014PfF1290,Individual,18,Maferinyah,21,DHPS,S436A,59,100.0%,59,S436A,1
18GNMa21A0014PfF1290,Individual,18,Maferinyah,21,DHPS,A437G,59,100.0%,59,A437G,1
18GNMa21A0097PfF1290,Individual,18,Maferinyah,21,DHPS,S436A,14,100.0%,14,S436A,1
18GNMa21A0097PfF1290,Individual,18,Maferinyah,21,DHPS,A437G,14,100.0%,14,A437G,1
18GNMa21A0106PfF1290,Individual,18,Maferinyah,21,DHPS,S436A,23,43.5%,10,S436A,1
18GNMa21A0106PfF1290,Individual,18,Maferinyah,21,DHPS,A437G,22,54.5%,12,A437G,1
19GNDo00A0127PfF1290,Individual,19,Dorota,00,DHPS,A437G,4,100.0%,4,A437G,1
19GNDo00A0134PfF1290,Individual,19,Dorota,00,DHPS,S436A,126,100.0%,126,S436A,1
19GNDo00A0134PfF1290,Individual,19,Dorota,00,DHPS,A437G,123,100.0%,123,A437G,1
19GNDo27A0134PfF1290,Individual,19,Dorota,27,DHPS,A437G,15,100.0%,15,A437G,1
19GNHa00A0077PfF1290,Individual,19,Hamdalaye,00,DHPS,A437G,4,100.0%,4,A437G,1
19GNHa00A0163PfF1290,Individual,19,Hamdalaye,00,DHPS,A437G,41,100.0%,41,A437G,1
19GNHa00F0172PfF1290,Individual,19,Hamdalaye,00,DHPS,A437G,8,100.0%,8,A437G,1
19GNHa00F0172PfF1290,Individual,19,Hamdalaye,00,DHPS,K540E,6,100.0%,6,K540E,1
19GNHa14A0077PfF1290,Individual,19,Hamdalaye,14,DHPS,S436A,22,9.1%,2,S436A,1
19GNHa14A0077PfF1290,Individual,19,Hamdalaye,14,DHPS,A437G,21,90.5%,19,A437G,1
19GNHa28A0163PfF1290,Individual,19,Hamdalaye,28,DHPS,S436A,12,16.7%,2,S436A,1
19GNHa28A0163PfF1290,Individual,19,Hamdalaye,28,DHPS,A437G,11,90.9%,10,A437G,1
19GNHa28A0163PfF1290,Individual,19,Hamdalaye,28,DHPS,K540E,1,100.0%,1,K540E,1
17GNDo00F0055PfF1290,Individual,17,Dorota,00,PfCRT,N75E,2,100.0%,2,N75E,1
17GNHa14F0097PfF1290,Individual,17,Hamdalaye,14,PfCRT,N75E,6,66.7%,4,N75E,1
17GNHa16F0011PfF1290,Individual,17,Hamdalaye,16,PfCRT,N75E,2,50.0%,1,N75E,1
17GNHa25A0217PfF1290,Individual,17,Hamdalaye,25,PfCRT,N75E,2,100.0%,2,N75E,1
18GNLS14F0141PfF1290,Individual,18,Lay-Sarè,14,PfCRT,N75E,1,100.0%,1,N75E,1
18GNMa21A0106PfF1290,Individual,18,Maferinyah,21,PfCRT,N75E,4,75.0%,3,N75E,1
19GNHa00A0163PfF1290,Individual,19,Hamdalaye,00,PfCRT,N75E,6,83.3%,5,N75E,1
19GNHa00F0172PfF1290,Individual,19,Hamdalaye,00,PfCRT,N75E,4,100.0%,4,N75E,1
17GNDo00A0006PfF1290,Individual,17,Dorota,00,DHFR,N51I,45,100.0%,45,N51I,1
17GNDo00A0006PfF1290,Individual,17,Dorota,00,PfMDR1 ,Y184F,1,100.0%,1,Y184F,1
17GNDo00F0002PfF1290,Individual,17,Dorota,00,DHFR,N51I,16,100.0%,16,N51I,1
17GNDo00F0019PfF1290,Individual,17,Dorota,00,DHFR,N51I,20,100.0%,20,N51I,1
17GNDo00F0055PfF1290,Individual,17,Dorota,00,DHFR,N51I,58,100.0%,58,N51I,1
17GNDo00F0055PfF1290,Individual,17,Dorota,00,PfCRT,M74I,2,100.0%,2,M74I,1
17GNDo00F0067PfF1153,Individual,17,Dorota,00,DHFR,N51I,13,100.0%,13,N51I,1
17GNDo21A0006PfF1290,Individual,17,Dorota,21,DHFR,N51I,13,100.0%,13,N51I,1
17GNDo21A0006PfF1290,Individual,17,Dorota,21,PfCRT,A220S,2,100.0%,2,A220S,1
17GNDo21F0002PfF1290,Individual,17,Dorota,21,DHFR,N51I,91,100.0%,91,N51I,1
17GNDo21F0019PfF1290,Individual,17,Dorota,21,DHFR,N51I,49,100.0%,49,N51I,1
17GNHa00A0142PfF1290,Individual,17,Hamdalaye,00,DHFR,N51I,16,100.0%,16,N51I,1
17GNHa00A0159PfF1290,Individual,17,Hamdalaye,00,DHFR,N51I,6,100.0%,6,N51I,1
17GNHa00A0217PfF1290,Individual,17,Hamdalaye,00,DHFR,N51I,34,100.0%,34,N51I,1
17GNHa00F0011PfF1290,Individual,17,Hamdalaye,00,DHFR,N51I,78,100.0%,78,N51I,1
17GNHa00F0097PfF1290,Individual,17,Hamdalaye,00,DHFR,N51I,5,100.0%,5,N51I,1
17GNHa00F0137PfF1290,Individual,17,Hamdalaye,00,DHFR,N51I,12,100.0%,12,N51I,1
17GNHa00F0165PfF1290,Individual,17,Hamdalaye,00,DHFR,N51I,13,84.6%,11,N51I,1
17GNHa14F0097PfF1290,Individual,17,Hamdalaye,14,DHFR,N51I,101,100.0%,101,N51I,1
17GNHa14F0097PfF1290,Individual,17,Hamdalaye,14,PfCRT,M74I,6,66.7%,4,M74I,1
17GNHa16F0011PfF1290,Individual,17,Hamdalaye,16,DHFR,N51I,22,100.0%,22,N51I,1
17GNHa16F0011PfF1290,Individual,17,Hamdalaye,16,PfCRT,M74L,2,50.0%,1,M74L,1
17GNHa16F0011PfF1290,Individual,17,Hamdalaye,16,PfCRT,M74I,2,50.0%,1,M74I,1
17GNHa21A0159PfF1290,Individual,17,Hamdalaye,21,DHFR,N51I,95,72.6%,69,N51I,1
17GNHa21F0137PfF1290,Individual,17,Hamdalaye,21,DHFR,N51I,1,100.0%,1,N51I,1
